l1neo	random	mrc
1396766	9952	9905
1405874	9952	9914
1415354	9962	9944
1418465	9965	9950
1419209	9988	9964
1419243	10003	9989
1422696	10011	10001
1426941	10012	10004
1429009	10025	10007
1431641	10030	10015
1432492	10035	10023
1433052	10066	10025
1436199	10081	10038
1437803	10084	10077
1438449	10097	10087
1443153	10109	10089
1443492	10127	10096
1445558	10143	10144
1455170	10160	10152
1455267	10173	10174
1460444	10188	10188
1463775	10215	10228
1464265	10235	10236
1467443	10247	10257
1469722	10252	10257
1470057	10263	10258
1474017	10263	10263
1482064	10268	10264
1482139	10285	10274
1485298	10291	10274
1494008	10312	10274
1495691	10340	10276
1506496	10342	10282
1513427	10342	10287
1518921	10348	10291
1526383	10350	10303
1527423	10365	10312
1528009	10369	10312
1529746	10374	10329
1533688	10379	10337
1534308	10379	10345
1540757	10388	10354
1541499	10415	10372
1545537	10416	10395
1546410	10428	10396
1549909	10430	10396
1554993	10435	10398
1571909	10439	10398
1573766	10440	10402
1575384	10444	10419
1579100	10452	10419
1583631	10453	10420
1586288	10460	10421
1586709	10464	10435
1595276	10483	10469
1603955	10483	10493
1604453	10526	10494
1606730	10528	10497
1612070	10530	10501
1614350	10544	10501
1615394	10551	10506
1621754	10557	10528
1622335	10564	10535
1625597	10574	10542
1627915	10582	10543
1628903	10584	10553
1630565	10593	10557
1631509	10658	10558
1635774	10663	10594
1637227	10671	10598
1646992	10682	10599
1648747	10687	10606
1664417	10714	10610
1666319	10726	10611
1666834	10728	10649
1667497	10752	10649
1672081	10760	10665
1674385	10764	10671
1675680	10767	10679
1676546	10778	10679
1676855	10796	10680
1683608	10802	10680
1684955	10805	10719
1690112	10827	10740
1690402	10827	10750
1705736	10830	10761
1705986	10831	10796
1706811	10834	10800
1709257	10845	10805
1714541	10849	10807
1716966	10886	10820
1717291	10887	10820
1730454	10908	10833
1730492	10920	10833
1732016	10943	10841
1732133	10945	10844
1737330	10956	10848
1750456	10963	10882
1754663	10979	10882
1756650	10983	10882
1759551	10990	10899
1768956	10997	10927
1770560	11005	10936
1771320	11010	10939
1773507	11033	10951
1780993	11036	10986
1787205	11041	10986
1789408	11050	10986
1790856	11056	11009
1794944	11070	11030
1798209	11081	11044
1807451	11090	11048
1812977	11114	11096
1814016	11118	11100
1816017	11118	11100
1821326	11140	11113
1824261	11169	11126
1824810	11170	11135
1826475	11181	11206
1827939	11198	11224
1828350	11201	11245
1834486	11201	11252
1850569	11218	11253
1850580	11227	11261
1861852	11254	11268
1864873	11258	11278
1865865	11275	11283
1867426	11294	11283
1870495	11297	11301
1870803	11307	11301
1875246	11383	11317
1880547	11405	11317
1891724	11413	11329
1906857	11426	11334
1909836	11427	11339
1921678	11432	11359
1921744	11441	11413
1928797	11456	11468
1933602	11459	11474
1936672	11470	11477
1940057	11473	11485
1942453	11477	11515
1947064	11486	11529
1947497	11495	11530
1949682	11497	11557
1949839	11497	11591
1952744	11509	11605
1953781	11513	11617
1961690	11542	11617
1962082	11544	11627
1962630	11546	11628
1963890	11579	11632
1964539	11599	11645
1965785	11605	11646
1988824	11616	11650
1992698	11639	11670
2005038	11640	11671
2011784	11647	11680
2014944	11648	11710
2015482	11681	11733
2016340	11696	11733
2016734	11701	11746
2019208	11707	11761
2025952	11716	11762
2030622	11738	11763
2035029	11743	11837
2035475	11744	11848
2038780	11748	11848
2039250	11763	11852
2050000	11771	11858
2050686	11811	11863
2057273	11813	11911
2064717	11820	11919
2070216	11825	11920
2072621	11832	11920
2075011	11832	11926
2076071	11858	11963
2079168	11860	11975
2079234	11865	11992
2083825	11882	12031
2085145	11939	12035
2086434	11941	12044
2091416	11941	12048
2093165	11951	12053
2095832	11953	12061
2097951	11995	12062
2098410	12009	12064
2099458	12015	12072
2103043	12015	12082
2108366	12024	12094
2109043	12046	12094
2111051	12062	12103
2112958	12070	12140
2113889	12083	12169
2115896	12105	12174
2119845	12117	12215
2128370	12131	12221
2130316	12132	12222
2135760	12156	12229
2136016	12173	12247
2138998	12174	12263
2140483	12176	12264
